id,title,description,company,location,salary,requirements,posted_date
b7ec4cd4-e185-42a4-9943-a72ea8089eca,Software Engineer,Looking for a software engineer with experience in Python and JavaScript. You'll be developing web applications and services for our platform.,Tech Co,San Francisco,100000,Python;JavaScript;React,2023-01-01
ad6c22df-072c-4af6-a2c1-912d0ba2f42c,Data Scientist,Experience with ML and data analysis. This role involves building predictive models and extracting insights from large datasets.,Data Inc,Remote,120000,Python;ML;Statistics,2023-01-02
c9ef5de7-7f34-45a1-b8c3-123456789abc,Frontend Developer,Join our team to build responsive and intuitive user interfaces. You'll work closely with designers and backend teams to implement modern UI components.,WebFront Solutions,New York,95000,React;TypeScript;CSS;HTML,2023-01-03
d8a2c3b1-6e45-4f12-9a87-987654321def,Backend Engineer,Develop and maintain server-side applications and APIs. Focus on performance optimization and scaling our infrastructure.,ServerSide Tech,Austin,110000,Node.js;MongoDB;Express;AWS,2023-01-04
e7b3a4c2-5d34-3e23-8f76-abcdef123456,DevOps Engineer,Manage our cloud infrastructure and CI/CD pipelines. Automate deployments and ensure system reliability and security.,CloudOps Inc,Seattle,115000,Docker;Kubernetes;Jenkins;AWS;Terraform,2023-01-05
f6c5b2d1-4e32-2f21-7g65-567890abcdef,Full Stack Developer,"Design and implement features across the entire stack. From database models to frontend components, you'll be involved in all aspects of development.",StackMasters,Chicago,105000,JavaScript;React;Node.js;SQL;Git,2023-01-06
a1b2c3d4-e5f6-7g8h-9i0j-123456789123,Mobile App Developer,Create native mobile applications for iOS and Android. Focus on user experience and performance optimization.,AppWorks,Los Angeles,98000,Swift;Kotlin;React Native;Firebase,2023-01-07
b2c3d4e5-f6g7-h8i9-j0k1-234567891234,UX/UI Designer,Design beautiful and intuitive interfaces for web and mobile applications. Collaborate with developers to implement your designs.,DesignPro,Portland,90000,Figma;Sketch;Adobe XD;UI Design;User Research,2023-01-08
c3d4e5f6-g7h8-i9j0-k1l2-345678912345,Product Manager,"Lead product development initiatives. Define requirements, coordinate teams, and ensure successful product delivery.",ProductLeaders,Boston,125000,Agile;JIRA;Product Strategy;Market Research,2023-01-09
d4e5f6g7-h8i9-j0k1-l2m3-456789123456,QA Engineer,"Ensure software quality through test automation and manual testing. Identify and report bugs, and work with developers to resolve issues.",QualityTech,Denver,85000,Selenium;Jest;TestRail;Python;SQL,2023-01-10
e5f6g7h8-i9j0-k1l2-m3n4-567891234567,Machine Learning Engineer,"Develop and deploy machine learning models. Work on data preparation, feature engineering, and model evaluation.",AI Innovations,San Jose,130000,TensorFlow;PyTorch;Python;Scikit-learn;NLP,2023-01-11
f6g7h8i9-j0k1-l2m3-n4o5-678912345678,Security Engineer,Protect our systems and data from cyber threats. Implement security best practices and respond to incidents.,SecureSystems,Washington DC,115000,Network Security;Penetration Testing;SIEM;Encryption,2023-01-12
